name,ring,quadrant,isNew,description,Comments,2021 Ring,2021 is New,quadrant_detail,New in 2022,CNCF Radar,BK Version ,BK Comments,,
AzureServiceFabric,Master,Composability,FALSE,,,Master,TRUE,Orchestration & Management,AzureServiceFabric,,YES,,,
AzureServiceBus,Master,Cloud Infrastructure,FALSE,,,Scale,FALSE,Platform Services,AzureServiceBus,,YES,,,
PostgreSQL,Scale,Cloud Native Engineering,FALSE,,,,,Managed Services,PostgreSQL,ADOPT,YE,,,
Bamboo,Scale,Cloud Native Engineering,TRUE,,,,,CI CD,#N/A,,YES,,,
Beats,Master,Observability & Beyond,TRUE,A toolset for network packet capture in Cloud/Kubernetes and Virtualized environment.,,,,Monitoring,#N/A,,YES,,,
BOSH,Explore,Cloud Infrastructure,TRUE,,,,,Provisiong ,#N/A,,YES,,,
SpringCloudFunction,Scale,Cloud Infrastructure,TRUE,,,,,Serverless,#N/A,,YES,,,
Cassandra,Invest,Cloud Native Engineering,FALSE,,,,,App Data,Cassandra,TRIAL,YES,,,
ChaosMesh,Invest,Observability & Beyond,TRUE,Distributed tracing for spring cloud,,,,Chaos Engineering,#N/A,,YES,,,
Chaosblade,Explore,Observability & Beyond,TRUE,An easy to use and powerful chaos engineering experiment toolkit.ï¼ˆé˜¿é‡Œå·´å·´å¼€æºçš„ä¸€æ¬¾ç®€å•æ˜“ç”¨ã€åŠŸèƒ½å¼ºå¤§çš„æ··æ²Œå®žéªŒæ³¨å…¥å·¥å…·ï¼‰,,,,Chaos Engineering,#N/A,,YES,,,
Cilium,Explore,Cloud Infrastructure,TRUE,,,,,Runtime,#N/A,ASSESS,YES,,,
CloudSQL,Invest,Cloud Native Engineering,FALSE,,,,,Managed Services,CloudSQL,TRIAL,YES,,,
ClusterAPI,Explore,Cloud Infrastructure,FALSE,,,,,Multi-Cloud,ClusterAPI,ASSESS,YES,,,
CockroachDB,Explore,Cloud Infrastructure,FALSE,,,,,Managed Services,CockroachDB,ASSESS,YES,,,
ContainerNetworkInterface(CNI),Explore,Cloud Infrastructure,TRUE,,,,,Runtime,#N/A,,YES,,,
ContainerServerless-Eventing,Master,Cloud Native Engineering,FALSE,,,Master,TRUE,Architectures,ContainerServerless-Eventing,,YES,,,
ContainerServerless-KnativeonKubernetes,Master,Cloud Native Engineering,FALSE,,,Master,TRUE,Architectures,ContainerServerless-KnativeonKubernetes,,YES,,,
ContainerServerless-OpenShiftServerless,Master,Cloud Native Engineering,FALSE,,,Master,TRUE,Architectures,ContainerServerless-OpenShiftServerless,,YES,,,
containerd,Master,Cloud Infrastructure,FALSE,,,,,Runtime,containerd,,YES,,,
CRI-O,Invest,Cloud Infrastructure,TRUE,,,,,Runtime,#N/A,,YES,,,
Datadog,Master,Observability & Beyond,FALSE,Metrics Pipeline for interoperability and Enterprise Prometheus,,,,Monitoring,Datadog,ADOPT,YES,,,
DellBoomi,Explore,Composability,FALSE,,,Explore,TRUE,iPaas,DellBoomi,,YES,,,
Terraform,Scale,Cloud Infrastructure,FALSE,,,,,Infrastructure,Terraform,ADOPT,YES,,,
DockerSwarm,Master,Composability,FALSE,Todo,,Master,FALSE,Orchestration & Management,DockerSwarm,,YES,,,
Dynatrace,Invest,Observability & Beyond,TRUE,"sysdig is a simple tool with deep system visibility for exploration and troubleshooting, with native support for containers.",,,,Monitoring,#N/A,,YES,,,
.NetCoreC#,Scale,Cloud Native Engineering,FALSE,Todo,,Scale,FALSE,Development,.NetCoreC#,,YES,,,
Angular,Scale,Cloud Native Engineering,FALSE,Todo,,Explore,TRUE,Development,Angular,,YES,,,
ElasticAPM,Invest,Observability & Beyond,TRUE,Logz.io provides a scalable and intelligent machine data analytics platform built on ELK and Grafana for monitoring modern applications.,,,,Tracing,#N/A,,YES,,,
ApacheCamel,Scale,Cloud Native Engineering,FALSE,,,Invest,FALSE,Development,ApacheCamel,,YES,,,
EventDrivenArchitecture,Master,Cloud Native Engineering,FALSE,,,Explore,TRUE,Architectures,EventDrivenArchitecture,,YES,,,
EventMesh,Explore,Cloud Infrastructure,TRUE,,,,,Serverless,#N/A,,YES,,,
AWSCodeCommit,Scale,Cloud Native Engineering,FALSE,,,,,CICD,AWSCodeCommit,,YES,,,
FaaS-GoogleFunctions,Invest,Cloud Native Engineering,FALSE,,,Master,FALSE,Architectures,FaaS-GoogleFunctions,,YES,,,
FaaS-IBMCloudFunctions,Explore,Cloud Native Engineering,FALSE,,,Explore,TRUE,Architectures,FaaS-IBMCloudFunctions,,YES,,,
DockerCompose,Scale,Cloud Native Engineering,TRUE,,,,,CI CD,#N/A,,YES,,,
FaaS-OpenFaaSonKubernetes,Explore,Cloud Native Engineering,FALSE,,,Explore,TRUE,Architectures,FaaS-OpenFaaSonKubernetes,,YES,,,
Falcon,Explore,Observability & Beyond,TRUE,An open-source and enterprise-level monitoring system.,,,,Monitoring,#N/A,,YES,,,
FaaS-AzureFunctions,Scale,Cloud Native Engineering,FALSE,,,Scale,FALSE,Architectures,FaaS-AzureFunctions,,YES,,,
Flux,Master,Cloud Native Engineering,FALSE,,,,,Infrastructure,Flux,ADOPT,YES,,,
Fuse,Explore,Cloud Infrastructure,FALSE,,,Explore,FALSE,Platform Services,Fuse,,YES,,,
GCPCloudDeploymentMgr,Invest,Cloud Infrastructure,FALSE,,,,,Infrastructure,GCPCloudDeploymentMgr,,YES,,,
GCPCloudScheduler,Invest,Cloud Infrastructure,FALSE,,,,,Infrastructure,GCPCloudScheduler,,YES,,,
GCPCommintedUseDiscounts,Invest,Cloud Infrastructure,FALSE,,,,,Infrastructure,GCPCommintedUseDiscounts,,YES,,,
GCPConfidentialComputing,Explore,Cloud Infrastructure,FALSE,,,,,Infrastructure,GCPConfidentialComputing,,YES,,,
GCPPreemptibleVirtualMachines,Explore,Cloud Infrastructure,FALSE,,,,,Infrastructure,GCPPreemptibleVirtualMachines,,YES,,,
GCPSustainedUseDiscounts,Invest,Cloud Infrastructure,FALSE,,,,,Infrastructure,GCPSustainedUseDiscounts,,YES,,,
FaaS-Lambda,Scale,Cloud Native Engineering,FALSE,,,Scale,FALSE,Architectures,FaaS-Lambda,,YES,,,
Git,Scale,Cloud Native Engineering,FALSE,,,,,CICD,Git,,YES,,,
GitHub,Scale,Cloud Native Engineering,FALSE,,,,,CICD,GitHub,,YES,,,
GoogleAnthos,Invest,Composability,FALSE,Multi-Cloud Management,,Invest,TRUE,Orchestration & Management,GoogleAnthos,,YES,,,
GoogleCloudBuild,Master,Cloud Native Engineering,TRUE,,,,,CI CD,#N/A,,YES,,,
GoogleCloudDataflow,Invest,Composability,TRUE,,,,,Streaming & Messaging,#N/A,,YES,,,
GoogleCloudFunctions,Master,Cloud Infrastructure,TRUE,,,,,Serverless,#N/A,,YES,,,
GoogleKubernetesEngine,Master,Composability,FALSE,"All DIY and Managed Services (EKS, IKS, AKS and GKE)",,Master,FALSE,Orchestration & Management,GoogleKubernetesEngine,,YES,,,
GoogleStackdriver,Invest,Observability & Beyond,TRUE,"Monitoring, visualisation & management for Docker & Kubernetes",,,,Monitoring,#N/A,,YES,,,
GitLab,Invest,Cloud Native Engineering,FALSE,,,,,CI CD,GitLab,TRIAL,YES,,,
GradleBuildTool,Scale,Cloud Native Engineering,TRUE,,,,,CI CD,#N/A,,YES,,,
GrafanaLoki,Invest,Observability & Beyond,TRUE,"Loki is a horizontally-scalable, highly-available, multi-tenant log aggregation system inspired by Prometheus. It is designed to be very cost effective and easy to operate. It does not index the contents of the logs, but rather a set of labels for each log stream.",,,,Logging,#N/A,,YES,,,
GrafanaTempo,Invest,Observability & Beyond,TRUE,"Grafana Tempo is an open source, easy-to-use and high-scale distributed tracing backend. Tempo is cost-efficient, requiring only object storage to operate, and is deeply integrated with Grafana, Prometheus, and Loki. Tempo can be used with any of the open source tracing protocols, including Jaeger, Zipkin, and OpenTelemetry.",,,,Tracing,#N/A,,YES,,,
HAProxy,Master,Composability,FALSE,,,Master,TRUE,Orchestration & Management,HAProxy,,YES,,,
Helm,Scale,Cloud Native Engineering,TRUE,,,,,CI CD,#N/A,ADOPT,YES,,,
IBMDB2,Scale,Cloud Native Engineering,TRUE,,,,,App Data,#N/A,,YES,,,
Honeycomb,Invest,Observability & Beyond,TRUE,"Honeycomb is a developer of an observability platform to visualize, analyze, and improve cloud application quality and performance.",,,,Tracing,#N/A,,YES,,,
IBMAppConnect,Explore,Cloud Infrastructure,FALSE,,,Explore,TRUE,Platform Services,IBMAppConnect,,YES,,,
IBMCloudCodeEngine,Master,Cloud Infrastructure,TRUE,,,,,Serverless,#N/A,,YES,,,
IBMCloudFunctions,Master,Cloud Infrastructure,TRUE,,,,,Serverless,#N/A,,YES,,,
IBMCloudPakforMulti-CloudManagement,Invest,Composability,FALSE,Multi-Cloud Management,,Invest,TRUE,Orchestration & Management,IBMCloudPakforMulti-CloudManagement,,YES,,,
Jenkins,Scale,Cloud Native Engineering,FALSE,,,,,CI CD,Jenkins,ASSESS,YES,,,
IBMKubernetesService,Master,Composability,FALSE,"All DIY and Managed Services (EKS, IKS, AKS and GKE)",,Master,FALSE,Orchestration & Management,IBMKubernetesService,,YES,,,
IBMMCM,Master,Cloud Infrastructure,FALSE,,,,,Multi-Cloud,IBMMCM,,YES,,,
IBMMQ,Invest,Cloud Infrastructure,FALSE,Todo,,Invest,FALSE,Platform Services,IBMMQ,,YES,,,
IBMStorage,Master,Cloud Infrastructure,TRUE,,,,,Runtime,#N/A,,YES,,,
InfluxData,Explore,Observability & Beyond,TRUE,"EaseAgent is a Javaagent that can be integrated with the mainstream monitoring system, providing standard data formats that are fully compatible with OpenZipkin and Prometheus. EaseAgent is also very easy to extend through the Plugin Mechanism which only a minimum of three interfaces are required to be implemented to complete a plugin development.",,,,Monitoring,#N/A,,YES,,,
Instana,Invest,Observability & Beyond,TRUE,"Elastic builds software to make data usable in real time and at scale for search, logging, security, and analytics use cases.",,,,Monitoring,#N/A,,YES,,,
MicroserviceArchitecture,Scale,Cloud Native Engineering,FALSE,,,Master,FALSE,Architectures,MicroserviceArchitecture,,YES,,,
MicrosoftSQLServer,Scale,Cloud Native Engineering,TRUE,,,,,App Data,#N/A,,YES,,,
JBPM,Invest,Composability,FALSE,,,Explore,FALSE,Orchestration & Management,JBPM,,YES,,,
MongoDB,Invest,Cloud Native Engineering,FALSE,,,,,App Data,MongoDB,TRIAL,YES,,,
Jfrog,Scale,Cloud Infrastructure,FALSE,,,,,CICD,Jfrog,ADOPT,YES,,,
MySQL,Scale,Cloud Native Engineering,FALSE,,,,,App Data,MySQL,ADOPT,YES,,,
Kiali,Explore,Observability & Beyond,FALSE,A powerful testing tool for Kubernetes clusters.,,,,Monitoring,Kiali,ASSESS,YES,,,
Knative,Master,Cloud Infrastructure,TRUE,,,,,Serverless,#N/A,,YES,,,
Kong,Invest,Composability,FALSE,,,Invest,TRUE,Orchestration & Management,Kong,,YES,,,
kOps,Explore,Cloud Infrastructure,FALSE,,,,,Multi-Cloud,kOps,ASSESS,YES,,,
KubernetesOperators,Master,Composability,FALSE,,,Invest,TRUE,Orchestration & Management,KubernetesOperators,,YES,,,
LightStep,Invest,Observability & Beyond,FALSE,"LightStep's mission is to deliver confidence at scale for those who develop, operate, and rely upon todayâ€™s powerful software applications.",,,,Tracing,LightStep,TRIAL,YES,,,
ReactJS,Scale,Cloud Native Engineering,FALSE,Todo,,Master,FALSE,Development,ReactJS,,YES,,,
Redis,Scale,Cloud Native Engineering,TRUE,,,,,App Data,#N/A,ADOPT,YES,,,
LogicMonitor,Explore,Observability & Beyond,TRUE,"LogicMonitor provides IT observability and monitoring for physical, virtual, and cloud-based IT infrastructures.",,,,Monitoring,#N/A,,YES,,,
Logstash,Scale,Observability & Beyond,TRUE,Enterprise observability platform for modern Dev+Ops cloud-native microservices Application Performance Monitoring,,,,Logging,#N/A,,YES,,,
lxd,Explore,Cloud Infrastructure,TRUE,,,,,Runtime,#N/A,,YES,,,
ManagedDB2,Invest,Cloud Infrastructure,FALSE,,,,,Managed Services,ManagedDB2,,YES,,,
Snowflake,Scale,Cloud Native Engineering,FALSE,,,,,App Data,Snowflake,,YES,,,
SpringBoot,Scale,Cloud Native Engineering,FALSE,Take a step back,,Scale,FALSE,Development,SpringBoot,,YES,,,
MariaDB,Explore,Cloud Native Engineering,FALSE,,,,,App Data,MariaDB,ASSESS,YES,,,
Mendix,Explore,Composability,TRUE,,,,,Low Code No Code,#N/A,,YES,,,
Micro-frontendarchitectures,Scale,Cloud Native Engineering,FALSE,,,Invest,TRUE,Architectures,Micro-frontendarchitectures,,YES,,,
Micro-runtimeRedHatQuarkus,Invest,Cloud Native Engineering,FALSE,Todo,,Invest,TRUE,Development,Micro-runtimeRedHatQuarkus,,YES,,,
SpringCloud,Scale,Cloud Native Engineering,FALSE,Continue to focus,,Master,FALSE,Development,SpringCloud,,YES,,,
Microservices-ReactiveMicroservices,Invest,Cloud Native Engineering,FALSE,,,Invest,TRUE,Architectures,Microservices-ReactiveMicroservices,,YES,,,
AzureDevOps,Scale,Cloud Native Engineering,FALSE,,,,,Development,AzureDevOps,,YES,,,
MicrosoftpowerApps,Invest,Composability,TRUE,,,,,Low Code No Code,#N/A,,YES,,,
Docker,Scale,Cloud Native Engineering,FALSE,,,,,CICD,Docker,,YES,,,
Kubernetes,Scale,Cloud Native Engineering,FALSE,,,,,CICD,Kubernetes,,YES,,,
MuleSoftAnypointPlatform,Explore,Composability,FALSE,,,Explore,FALSE,iPaas,MuleSoftAnypointPlatform,,YES,,,
MuleSoftESB,Invest,Cloud Infrastructure,FALSE,,,Invest,FALSE,Platform Services,MuleSoftESB,,YES,,,
Nagios,Explore,Observability & Beyond,TRUE,"Collect data directly from your live code using non-breaking breakpoints. Debug, observe and understand anything, anytime, anywhere.",,,,Monitoring,#N/A,,YES,,,
Netdata,Explore,Observability & Beyond,TRUE,"Real-time performance monitoring, done right! https://www.netdata.cloud",,,,Monitoring,#N/A,,YES,,,
NetflixEureka,Master,Composability,FALSE,,,Master,TRUE,Orchestration & Management,NetflixEureka,,YES,,,
NetflixZuul,Master,Composability,FALSE,,,Master,TRUE,Orchestration & Management,NetflixZuul,,YES,,,
NewRelic,Master,Observability & Beyond,TRUE,The Prometheus monitoring system and time series database.,,,,Monitoring,#N/A,,YES,,,
NGINX,Invest,Composability,FALSE,,,Invest,TRUE,Orchestration & Management,NGINX,,YES,,,
NodeJS,Master,Cloud Native Engineering,FALSE,Todo,,Master,FALSE,Development,NodeJS,,YES,,,
OpenAPI,Explore,Cloud Native Engineering,TRUE,,,,,CI CD,#N/A,,YES,,,
OpenFaaS,Master,Cloud Infrastructure,TRUE,,,,,Serverless,#N/A,,YES,,,
OpenMessaging,Invest,Composability,TRUE,,,,,Streaming & Messaging,#N/A,,YES,,,
OpenMetrics,Invest,Observability & Beyond,FALSE,Evolving the Prometheus exposition format into a standard.,,,,Monitoring,OpenMetrics,ADOPT,YES,,,
OpenShiftS2I(Source2Image),Master,Composability,FALSE,Todo,,Master,TRUE,Orchestration & Management,OpenShiftS2I(Source2Image),,YES,,,
OpenTelemetry,Explore,Observability & Beyond,FALSE,"Grafana Tempo is an open source, easy-to-use and high-scale distributed tracing backend. Tempo is cost-efficient, requiring only object storage to operate, and is deeply integrated with Grafana, Prometheus, and Loki. Tempo can be used with any of the open source tracing protocols, including Jaeger, Zipkin, and OpenTelemetry.",,,,Tracing,OpenTelemetry,ASSESS,YES,,,
OracleDatabase,Master,Cloud Native Engineering,TRUE,,,,,App Data,#N/A,,YES,,,
OutSystems,Explore,Composability,TRUE,,,,,Low Code No Code,#N/A,,YES,,,
Pinpoint,Explore,Observability & Beyond,TRUE,"APM, (Application Performance Management) tool for large-scale distributed systems.",,,,Tracing,#N/A,,NO,,,
PivotalCloudFoundry,Master,Composability,FALSE,Todo,,Master,FALSE,Orchestration & Management,PivotalCloudFoundry,,YES,,,
PivotalContainerServices,Invest,Composability,FALSE,Todo,,Explore,TRUE,Orchestration & Management,PivotalContainerServices,,YES,,,
SonarQube,Scale,Cloud Native Engineering,FALSE,,,,,CICD,SonarQube,ADOPT,YES,,,
HashiCorpvault,Scale,Cloud Infrastructure,FALSE,,,,,CICD,HashiCorpvault,ADOPT,YES,,,
PrivateCloudManagedKubernetes,Master,Cloud Infrastructure,FALSE,,,,,Infrastructure,PrivateCloudManagedKubernetes,,YES,,,
PrivateCloudOpenShift,Master,Cloud Infrastructure,FALSE,,,,,Infrastructure,PrivateCloudOpenShift,,YES,,,
AWSKeyManagementService,Scale,Cloud Infrastructure,FALSE,,,,,CICD,AWSKeyManagementService,ADOPT,YES,,,
PublicCloudManagedKubernetes,Master,Cloud Infrastructure,FALSE,,,,,Infrastructure,PublicCloudManagedKubernetes,,YES,,,
Python,Master,Cloud Native Engineering,FALSE,Todo,,Invest,FALSE,Development,Python,,YES,,,
AzureKeyVault,Scale,Cloud Infrastructure,FALSE,,,,,CICD,AzureKeyVault,ADOPT,YES,,,
Rancher,Explore,Composability,FALSE,Todo,,Explore,TRUE,Orchestration & Management,Rancher,,YES,,,
GCPCloudKeyManagement,Scale,Cloud Native Engineering,FALSE,,,,,CICD,GCPCloudKeyManagement,,YES,,,
RedHatAdvancedClusterManagement,Explore,Cloud Infrastructure,FALSE,,,,,Multi-Cloud,RedHatAdvancedClusterManagement,,YES,,,
RedHatCodeReadyContainers,Invest,Cloud Native Engineering,FALSE,Todo,,Invest,TRUE,Development,RedHatCodeReadyContainers,,YES,,,
RedHatCodeReadyContainersStudio,Invest,Cloud Native Engineering,FALSE,Todo,,Invest,TRUE,Development,RedHatCodeReadyContainersStudio,,YES,,,
Memcached,Scale,Cloud Native Engineering,FALSE,,,,,Managed DB,Memcached,,YES,,,
AWSElasticKubernetesService,Scale,Composability,FALSE,"All DIY and Managed Services (EKS, IKS, AKS and GKE)",,Scale,FALSE,Orchestration & Management,AWSElasticKubernetesService,,YES,,,
Rkt,Explore,Composability,FALSE,Todo,,Explore,TRUE,Orchestration & Management,Rkt,,YES,,,
ROSARedHatOpenShiftonAWS,Invest,Cloud Infrastructure,FALSE,,,,,Infrastructure,ROSARedHatOpenShiftonAWS,,YES,,,
SaltStack,Explore,Cloud Infrastructure,FALSE,,,,,Provisiong ,SaltStack,,YES,,,
Serverless,Invest,Cloud Infrastructure,TRUE,,,,,Serverless,#N/A,,YES,,,
SignalFX,Invest,Observability & Beyond,TRUE,"Splunk provides operational intelligence software that monitors, reports, and analyzes real-time machine data.",,,,Monitoring,#N/A,,YES,,,
SkyWalking,Explore,Observability & Beyond,TRUE,"APM, Application Performance Monitoring System",,,,Tracing,#N/A,,YES,,,
AWSFargate,Scale,Composability,FALSE,Container as Service,,Master,FALSE,Orchestration & Management,AWSFargate,,YES,,,
Splunk,Invest,Observability & Beyond,FALSE,"LeanIX Miroservice Intelligence (MI) is a SaaS solution for development teams. It automatically discover metadata from your DevOps toolchain and build a central microservice catalog to increase developer productivity and ensure software reliability. Youâ€™ll always know whatâ€™s running where, who deployed it, and how it supports your business.",,,,Logging,Splunk,TRIAL,YES,,,
AzureKubernetesService,Scale,Composability,FALSE,"All DIY and Managed Services (EKS, IKS, AKS and GKE)",,Scale,FALSE,Orchestration & Management,AzureKubernetesService,,YES,,,
SpringCloudSleuth,Master,Observability & Beyond,TRUE,New Relic is a digital intelligence company that delivers full-stack visibility and analytics to enterprises.,,,,Tracing,#N/A,,YES,,,
Helm,Scale,Composability,TRUE,,,Invest,FALSE,Orchestration & Management,#N/A,ADOPT,YES,,,
